crc32,name,filename,size,type,load_type,status,notes
9A380FAF,Eliminator,Eliminator (1984) (Loriciels).k7,9480,k7,unknown,not_tested,
6A7B1A72,EmplMO5,EmplMO5 (198x) (PD).k7,5873,k7,LOAD,not_tested,
19474090,Emploi du Subjonctif,Emploi du Subjonctif (198x) (CNDP).k7,3292,k7,LOAD,not_tested,
05418B66,"En allant a l'ecole, Cycliste","En allant a l'ecole, Cycliste (1985) (Cedic) (Part 1 of 2).k7",40484,k7,unknown,not_tested,
D40CE57A,"En allant a l'ecole, Cycliste","En allant a l'ecole, Cycliste (1985) (Cedic) (Part 2 of 2).k7",15824,k7,LOAD,not_tested,
DE053935,Enduro Racer,Enduro Racer (1988) (FIL).k7,45296,k7,LOAD,not_tested,
E4EFEACF,Enduro Racer,Enduro Racer (1988) (Sega) [b1].k7,46221,k7,LOAD,not_tested,
7D9EFBA7,Energic,Energic (1985) (Guy Dechelette) [a1].k7,26368,k7,LOAD,not_tested,
689D6117,Energic,Energic (1985) (Guy Dechelette).k7,25710,k7,LOAD,not_tested,
0F9034B6,Ensemble Z,Ensemble Z (198x).k7,25071,k7,LOAD,not_tested,
5F55BB39,Entrainement au calcul,Entrainement au calcul (198x) (CNDP) (Part 01 of 10).k7,4504,k7,LOAD,not_tested,
7147EFB0,Entrainement au calcul,Entrainement au calcul (198x) (CNDP) (Part 02 of 10).k7,9354,k7,LOAD,not_tested,
69F37AB8,Entrainement au calcul,Entrainement au calcul (198x) (CNDP) (Part 03 of 10).k7,10457,k7,LOAD,not_tested,
832EB0A4,Entrainement au calcul,Entrainement au calcul (198x) (CNDP) (Part 04 of 10).k7,11107,k7,LOAD,not_tested,
7D195071,Entrainement au calcul,Entrainement au calcul (198x) (CNDP) (Part 05 of 10).k7,10132,k7,LOAD,not_tested,
F804E5A0,Entrainement au calcul,Entrainement au calcul (198x) (CNDP) (Part 06 of 10).k7,15077,k7,LOAD,not_tested,
DE91F730,Entrainement au calcul,Entrainement au calcul (198x) (CNDP) (Part 07 of 10).k7,12278,k7,LOAD,not_tested,
0C82ADCF,Entrainement au calcul,Entrainement au calcul (198x) (CNDP) (Part 08 of 10).k7,21252,k7,LOAD,not_tested,
166E6AA6,Entrainement au calcul,Entrainement au calcul (198x) (CNDP) (Part 09 of 10).k7,11108,k7,LOAD,not_tested,
C01E10F5,Entrainement au calcul,Entrainement au calcul (198x) (CNDP) (Part 10 of 10).k7,17152,k7,LOAD,not_tested,
164D4F12,Equation de droite,Equation de droite (198x) (CNDP).k7,11074,k7,LOAD,not_tested,
2E0BD6C0,Equations,Equations (198x).k7,25400,k7,LOAD,not_tested,
C90D0234,Equations de droites,Equations de droites (1986) (FIL).k7,37661,k7,LOAD,not_tested,
D594D2AF,Equichim,Equichim (198x) (CNDP).k7,26075,k7,LOAD,not_tested,
5C199B72,Escalier pour l'infini,Escalier pour l'infini (198x) (CNDP).k7,16989,k7,LOAD,not_tested,
